"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DLGAP5",1043.59502883725,5.43354837614226,1.13608669138649,3.90247364902368,9.52146066835694e-05,0.00543037497722364
"MELK",1346.27162641355,5.51874899974211,0.984235249269342,4.59112697202895,4.40859019927248e-06,0.000428004759739482
"GINS1",776.775942223488,3.43882064002688,0.644792668144839,3.78233308242124,0.000155365274006086,0.00778222405825847
"KIF14",507.337154833664,4.95955297245925,1.01428444707387,3.90378949798771,9.46981537030812e-05,0.00541880395411572
"NAALAD2",439.984872743271,-4.56013909133697,0.705671487333931,-5.04503746465283,4.5343251269704e-07,6.37054248123378e-05
"TROAP",465.13548339712,5.00496555641944,0.970173735233049,4.12809109438259,3.6578721178858e-05,0.00245006542903816
"KIF20A",1026.1792801109,4.76171433669362,0.913575801045114,4.11757221720441,3.82884567425259e-05,0.0025448570037215
"FAM13A",7126.78542640036,-4.08016692807896,0.697535545996607,-4.41578489548968,1.00644128796291e-05,0.000852564308690538
"ODZ1",179.249553982443,-4.12792748613231,0.69048090813684,-4.53007092487547,5.89638888799129e-06,0.000542924710435936
"ANGPTL7",108.86580174742,-4.85451798800103,1.03071898549161,-3.73964003987235,0.000184283959768989,0.00872496194182984
"GLYAT",941.518621325034,-8.61358627148005,1.33091634505091,-5.72055959774752,1.0617377682973e-08,2.63336610308805e-06
"NMUR1",285.209489760405,-5.04628916647984,0.796102896495152,-5.08262083242462,3.72262345599938e-07,5.49834666180558e-05
"TRDN",121.564169413205,-6.28522502892332,1.12263654537188,-4.7078683218642,2.50320709335607e-06,0.00026538602319194
"ABCA10",599.033729609813,-4.72743567615757,0.621770548010702,-5.9948733308182,2.03644113870771e-09,6.28423916393e-07
"ABCA9",2827.57505228602,-4.94633268990115,0.798831420920344,-4.94013203105423,7.80696898076874e-07,9.84760809902661e-05
"ABCA8",5454.48669209982,-5.23732281697032,0.852811546078061,-4.96865085429139,6.7420338931112e-07,8.69470803782498e-05
"NDC80",575.402889054287,4.3969863381865,0.898788024913006,3.77951891216541,0.00015713165898815,0.00782705931732216
"SORBS1",29972.6404104702,-4.72754996152878,0.681839912233044,-5.46689903986547,4.5797672488645e-08,9.42178069376518e-06
"POSTN",49795.8448316784,3.08582421021958,0.508680281728394,4.10046208815557,4.12325984141523e-05,0.00270927959389721
"CHL1",2994.13452232077,-4.59250811519897,0.787917258303488,-4.55949920799325,5.12757502770722e-06,0.000486866066229717
